Source Name,Sample Name,Characteristics: Organism,Factor Value: Strain,Characteristics: sex,Characteristics: Material Type,Protocol REF,Comment: plate,Comment: plate well,Protocol REF,Factor Value: Ionizing Radiation,Factor Value: Particle Charge,Factor Value: HZE,Parameter Value: ionizing radiation energy,Parameter Value: linear energy transfer,Parameter Value: absorbed radiation dose rate,Factor Value: Absorbed Radiation Dose,Factor Value: Time of Sample Collection After Treatment,Parameter Value: average fractionated dose rate,Parameter Value: exposure duration,Parameter Value: ionizing radiation source,Parameter Value: ionizing radiation facility
C57BLF1,C57BLF1_P211_A6_C57_FEMALE_1,Mus musculus,C57BL/6J,female,primary cultured fibroblast cell,growth protocol,P211,A6,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
C57BLF2,C57BLF2_P211_G3_C57_FEMALE_1,Mus musculus,C57BL/6J,female,primary cultured fibroblast cell,growth protocol,P211,G3,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
C57BLF3,C57BLF3_P211_H3_C57_FEMALE_1,Mus musculus,C57BL/6J,female,primary cultured fibroblast cell,growth protocol,P211,H3,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
C57BLF1,C57BLF1_P222_A6_C57_FEMALE_2,Mus musculus,C57BL/6J,female,primary cultured fibroblast cell,growth protocol,P222,A6,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
C57BLF2,C57BLF2_P222_G3_C57_FEMALE_2,Mus musculus,C57BL/6J,female,primary cultured fibroblast cell,growth protocol,P222,G3,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
C57BLF3,C57BLF3_P222_H3_C57_FEMALE_2,Mus musculus,C57BL/6J,female,primary cultured fibroblast cell,growth protocol,P222,H3,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
C57BLM1,C57BLM1_P211_G4_C57_MALE_1,Mus musculus,C57BL/6J,male,primary cultured fibroblast cell,growth protocol,P211,G4,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
C57BLM2,C57BLM2_P211_H4_C57_MALE_1,Mus musculus,C57BL/6J,male,primary cultured fibroblast cell,growth protocol,P211,H4,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
C57BLM3,C57BLM3_P211_E4_C57_MALE_1,Mus musculus,C57BL/6J,male,primary cultured fibroblast cell,growth protocol,P211,E4,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
C57BLM1,C57BLM1_P222_G4_C57_MALE_2,Mus musculus,C57BL/6J,male,primary cultured fibroblast cell,growth protocol,P222,G4,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
C57BLM2,C57BLM2_P222_H4_C57_MALE_2,Mus musculus,C57BL/6J,male,primary cultured fibroblast cell,growth protocol,P222,H4,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
C57BLM3,C57BLM3_P222_E4_C57_MALE_2,Mus musculus,C57BL/6J,male,primary cultured fibroblast cell,growth protocol,P222,E4,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CBAF1,CBAF1_P211_C1_CBA_FEMALE_1,Mus musculus,CBA/CaJ,female,primary cultured fibroblast cell,growth protocol,P211,C1,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CBAF2,CBAF2_P211_E2_CBA_FEMALE_1,Mus musculus,CBA/CaJ,female,primary cultured fibroblast cell,growth protocol,P211,E2,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CBAF3,CBAF3_P211_A3_CBA_FEMALE_1,Mus musculus,CBA/CaJ,female,primary cultured fibroblast cell,growth protocol,P211,A3,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CBAF1,CBAF1_P222_C1_CBA_FEMALE_2,Mus musculus,CBA/CaJ,female,primary cultured fibroblast cell,growth protocol,P222,C1,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CBAF2,CBAF2_P222_E2_CBA_FEMALE_2,Mus musculus,CBA/CaJ,female,primary cultured fibroblast cell,growth protocol,P222,E2,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CBAF3,CBAF3_P222_A3_CBA_FEMALE_2,Mus musculus,CBA/CaJ,female,primary cultured fibroblast cell,growth protocol,P222,A3,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CBAM1,CBAM1_P211_D1_CBA_MALE_1,Mus musculus,CBA/CaJ,male,primary cultured fibroblast cell,growth protocol,P211,D1,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CBAM2,CBAM2_P211_D2_CBA_MALE_1,Mus musculus,CBA/CaJ,male,primary cultured fibroblast cell,growth protocol,P211,D2,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CBAM3,CBAM3_P211_F1_CBA_MALE_1,Mus musculus,CBA/CaJ,male,primary cultured fibroblast cell,growth protocol,P211,F1,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CBAM1,CBAM1_P222_D1_CBA_MALE_2,Mus musculus,CBA/CaJ,male,primary cultured fibroblast cell,growth protocol,P222,D1,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CBAM2,CBAM2_P222_D2_CBA_MALE_2,Mus musculus,CBA/CaJ,male,primary cultured fibroblast cell,growth protocol,P222,D2,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CBAM3,CBAM3_P222_F1_CBA_MALE_2,Mus musculus,CBA/CaJ,male,primary cultured fibroblast cell,growth protocol,P222,F1,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
208CC,208CC_P211_C5_CC002_MALE_1,Mus musculus,CC002,male,primary cultured fibroblast cell,growth protocol,P211,C5,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
247CC,247CC_P211_B3_CC002_MALE_1,Mus musculus,CC002,male,primary cultured fibroblast cell,growth protocol,P211,B3,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
907CC,907CC_P211_A8_CC002_MALE_1,Mus musculus,CC002,male,primary cultured fibroblast cell,growth protocol,P211,A8,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
208CC,208CC_P222_C5_CC002_MALE_2,Mus musculus,CC002,male,primary cultured fibroblast cell,growth protocol,P222,C5,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
247CC,247CC_P222_B3_CC002_MALE_2,Mus musculus,CC002,male,primary cultured fibroblast cell,growth protocol,P222,B3,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
907CC,907CC_P222_A8_CC002_MALE_2,Mus musculus,CC002,male,primary cultured fibroblast cell,growth protocol,P222,A8,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
254CC,254CC_P211_A7_CC011_FEMALE_1,Mus musculus,CC011,female,primary cultured fibroblast cell,growth protocol,P211,A7,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
937CC,937CC_P211_F6_CC011_FEMALE_1,Mus musculus,CC011,female,primary cultured fibroblast cell,growth protocol,P211,F6,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
938CC,938CC_P211_F5_CC011_FEMALE_1,Mus musculus,CC011,female,primary cultured fibroblast cell,growth protocol,P211,F5,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
254CC,254CC_P222_A7_CC011_FEMALE_2,Mus musculus,CC011,female,primary cultured fibroblast cell,growth protocol,P222,A7,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
937CC,937CC_P222_F6_CC011_FEMALE_2,Mus musculus,CC011,female,primary cultured fibroblast cell,growth protocol,P222,F6,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
938CC,938CC_P222_F5_CC011_FEMALE_2,Mus musculus,CC011,female,primary cultured fibroblast cell,growth protocol,P222,F5,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
251CC,251CC_P211_B7_CC011_MALE_1,Mus musculus,CC011,male,primary cultured fibroblast cell,growth protocol,P211,B7,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
934CC,934CC_P211_B9_CC011_MALE_1,Mus musculus,CC011,male,primary cultured fibroblast cell,growth protocol,P211,B9,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
251CC,251CC_P222_B7_CC011_MALE_2,Mus musculus,CC011,male,primary cultured fibroblast cell,growth protocol,P222,B7,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
934CC,934CC_P222_B9_CC011_MALE_2,Mus musculus,CC011,male,primary cultured fibroblast cell,growth protocol,P222,B9,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
226CC,226CC_P211_B4_CC013_FEMALE_1,Mus musculus,CC013,female,primary cultured fibroblast cell,growth protocol,P211,B4,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
253CC,253CC_P211_B1_CC013_FEMALE_1,Mus musculus,CC013,female,primary cultured fibroblast cell,growth protocol,P211,B1,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
942CC,942CC_P211_D6_CC013_FEMALE_1,Mus musculus,CC013,female,primary cultured fibroblast cell,growth protocol,P211,D6,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
226CC,226CC_P222_B4_CC013_FEMALE_2,Mus musculus,CC013,female,primary cultured fibroblast cell,growth protocol,P222,B4,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
253CC,253CC_P222_B1_CC013_FEMALE_2,Mus musculus,CC013,female,primary cultured fibroblast cell,growth protocol,P222,B1,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
942CC,942CC_P222_D6_CC013_FEMALE_2,Mus musculus,CC013,female,primary cultured fibroblast cell,growth protocol,P222,D6,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
235CC,235CC_P211_A4_CC013_MALE_1,Mus musculus,CC013,male,primary cultured fibroblast cell,growth protocol,P211,A4,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
236CC,236CC_P211_B5_CC013_MALE_1,Mus musculus,CC013,male,primary cultured fibroblast cell,growth protocol,P211,B5,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
235CC,235CC_P222_A4_CC013_MALE_2,Mus musculus,CC013,male,primary cultured fibroblast cell,growth protocol,P222,A4,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
236CC,236CC_P222_B5_CC013_MALE_2,Mus musculus,CC013,male,primary cultured fibroblast cell,growth protocol,P222,B5,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
927CC,927CC_P211_E6_CC019_FEMALE_1,Mus musculus,CC019,female,primary cultured fibroblast cell,growth protocol,P211,E6,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
928CC,928CC_P211_C7_CC019_FEMALE_1,Mus musculus,CC019,female,primary cultured fibroblast cell,growth protocol,P211,C7,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
927CC,927CC_P222_E6_CC019_FEMALE_2,Mus musculus,CC019,female,primary cultured fibroblast cell,growth protocol,P222,E6,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
928CC,928CC_P222_C7_CC019_FEMALE_2,Mus musculus,CC019,female,primary cultured fibroblast cell,growth protocol,P222,C7,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
919CC,919CC_P211_E7_CC019_MALE_1,Mus musculus,CC019,male,primary cultured fibroblast cell,growth protocol,P211,E7,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
925CC,925CC_P211_C8_CC019_MALE_1,Mus musculus,CC019,male,primary cultured fibroblast cell,growth protocol,P211,C8,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
919CC,919CC_P222_E7_CC019_MALE_2,Mus musculus,CC019,male,primary cultured fibroblast cell,growth protocol,P222,E7,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
925CC,925CC_P222_C8_CC019_MALE_2,Mus musculus,CC019,male,primary cultured fibroblast cell,growth protocol,P222,C8,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
233CC,233CC_P211_A5_CC032_FEMALE_1,Mus musculus,CC032,female,primary cultured fibroblast cell,growth protocol,P211,A5,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
233CC,233CC_P222_A5_CC032_FEMALE_2,Mus musculus,CC032,female,primary cultured fibroblast cell,growth protocol,P222,A5,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
